gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 196]",1.875
2,"[303, 424]",2.12
2,"[181, 309]",2.139
2,"[17, 223]",2.2
2,"[196, 243]",2.219
2,"[293, 386]",2.227
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[95, 429]",2.38
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[21, 366]",2.461
2,"[320, 416]",2.49
2,"[231, 359]",2.519
2,"[197, 435]",2.539
2,"[90, 111]",2.548
2,"[281, 329]",2.616
2,"[15, 267]",2.623
2,"[267, 281]",2.693
2,"[21, 200]",2.827
2,"[65, 71]",3.236
2,"[197, 309]",3.247
2,"[5, 90]",3.775
2,"[5, 207]",3.982
2,"[16, 396]",4.055
3,"[309, 352]",0.335
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[111, 196]",1.875
3,"[111, 267]",2.069
3,"[21, 421]",2.107
3,"[71, 222]",2.114
3,"[303, 424]",2.12
3,"[33, 385]",2.134
3,"[181, 309]",2.139
3,"[17, 223]",2.2
3,"[197, 222]",2.205
3,"[196, 243]",2.219
3,"[15, 386]",2.224
3,"[293, 386]",2.227
3,"[158, 348]",2.235
3,"[17, 142]",2.239
3,"[195, 437]",2.244
3,"[407, 431]",2.267
3,"[75, 303]",2.28
3,"[95, 429]",2.38
3,"[101, 385]",2.412
3,"[64, 118]",2.415
3,"[90, 292]",2.444
3,"[21, 366]",2.461
3,"[21, 267]",2.511
3,"[181, 303]",2.817
3,"[101, 396]",3.089
3,"[176, 396]",3.183
3,"[16, 283]",3.745
4,"[309, 352]",0.335
4,"[276, 421]",1.235
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[111, 196]",1.875
4,"[101, 111]",1.9
4,"[111, 267]",2.069
4,"[303, 431]",2.086
4,"[95, 222]",2.105
4,"[21, 421]",2.107
4,"[71, 222]",2.114
