gen,filename,score
1,"[373, 414]",1.503
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[171, 325]",2.184
1,"[83, 147]",2.31
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[319, 418]",2.485
1,"[279, 409]",2.565
1,"[168, 272]",2.763
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[23, 354]",2.927
1,"[239, 433]",3.055
1,"[32, 109]",3.15
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[42, 51]",4.602
2,"[373, 414]",1.503
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[165, 393]",2.142
2,"[52, 71]",2.145
2,"[79, 107]",2.152
2,"[79, 409]",2.165
2,"[171, 325]",2.184
2,"[141, 391]",2.228
2,"[318, 439]",2.246
2,"[83, 147]",2.31
2,"[86, 92]",2.383
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[195, 436]",2.457
2,"[81, 244]",2.464
2,"[319, 418]",2.485
2,"[75, 373]",2.54
2,"[279, 409]",2.565
2,"[75, 362]",2.696
2,"[86, 440]",2.726
2,"[168, 272]",2.763
2,"[62, 75]",2.793
2,"[71, 279]",2.795
2,"[181, 394]",2.84
2,"[76, 357]",2.932
2,"[53, 159]",3.001
2,"[62, 249]",3.274
2,"[137, 418]",3.379
2,"[231, 278]",3.384
2,"[75, 137]",3.444
2,"[109, 239]",3.679
3,"[373, 414]",1.503
3,"[318, 409]",1.712
3,"[319, 409]",1.896
3,"[81, 409]",1.995
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[165, 393]",2.142
3,"[52, 71]",2.145
3,"[79, 107]",2.152
3,"[79, 409]",2.165
3,"[171, 325]",2.184
3,"[79, 92]",2.194
3,"[141, 391]",2.228
3,"[318, 439]",2.246
3,"[83, 147]",2.31
3,"[244, 293]",2.352
3,"[231, 385]",2.357
3,"[86, 92]",2.383
3,"[53, 231]",2.417
3,"[314, 439]",2.421
3,"[195, 436]",2.457
3,"[81, 244]",2.464
3,"[76, 393]",2.57
3,"[86, 247]",2.588
3,"[181, 418]",2.753
3,"[53, 393]",2.844
3,"[75, 75]",2.853
3,"[272, 404]",2.863
3,"[83, 439]",2.96
3,"[109, 272]",3.379
3,"[38, 137]",4.136
3,"[71, 130]",4.923
4,"[373, 414]",1.503
4,"[318, 409]",1.712
4,"[319, 409]",1.896
4,"[117, 244]",1.995
4,"[81, 409]",1.995
4,"[83, 409]",2.025
4,"[79, 432]",2.03
4,"[195, 318]",2.06
4,"[141, 403]",2.068
4,"[165, 231]",2.078
4,"[71, 141]",2.117
4,"[79, 244]",2.123
4,"[165, 393]",2.142
4,"[52, 71]",2.145
4,"[79, 107]",2.152
4,"[79, 409]",2.165
4,"[171, 325]",2.184
4,"[79, 92]",2.194
4,"[3, 147]",2.219
4,"[141, 391]",2.228
4,"[318, 439]",2.246
4,"[52, 393]",2.278
4,"[83, 147]",2.31
4,"[232, 293]",2.321
4,"[231, 293]",2.342
4,"[244, 293]",2.352
4,"[282, 314]",2.367
4,"[53, 385]",2.381
4,"[206, 418]",2.443
4,"[86, 231]",2.541
4,"[76, 103]",2.565
4,"[83, 393]",2.84
5,"[373, 414]",1.503
5,"[141, 409]",1.627
5,"[318, 409]",1.712
5,"[319, 409]",1.896
5,"[117, 244]",1.995
5,"[81, 409]",1.995
5,"[83, 409]",2.025
5,"[79, 432]",2.03
5,"[195, 318]",2.06
5,"[141, 403]",2.068
5,"[165, 231]",2.078
5,"[171, 438]",2.093
5,"[79, 141]",2.114
5,"[117, 293]",2.115
5,"[71, 141]",2.117
5,"[79, 244]",2.123
5,"[92, 165]",2.138
5,"[165, 393]",2.142
5,"[52, 71]",2.145
5,"[79, 231]",2.149
5,"[79, 107]",2.152
5,"[79, 409]",2.165
5,"[92, 326]",2.228
5,"[206, 393]",2.265
5,"[81, 177]",2.406
5,"[3, 293]",2.41
5,"[3, 244]",2.452
5,"[71, 142]",2.481
5,"[101, 107]",3.117
5,"[314, 387]",3.202
5,"[71, 77]",3.968
5,"[327, 393]",4.027
6,"[279, 414]",1.223
6,"[373, 414]",1.503
6,"[141, 409]",1.627
6,"[318, 409]",1.712
6,"[319, 409]",1.896
6,"[71, 409]",1.928
6,"[117, 244]",1.995
6,"[81, 409]",1.995
6,"[83, 409]",2.025
6,"[79, 432]",2.03
6,"[195, 318]",2.06
6,"[141, 403]",2.068
6,"[165, 231]",2.078
6,"[171, 438]",2.093
6,"[79, 141]",2.114
6,"[117, 293]",2.115
6,"[71, 141]",2.117
6,"[117, 142]",2.121
6,"[79, 244]",2.123
6,"[23, 432]",2.127
6,"[79, 326]",2.136
6,"[79, 438]",2.161
6,"[79, 409]",2.165
6,"[79, 192]",2.214
6,"[117, 393]",2.241
6,"[373, 438]",2.296
6,"[81, 438]",2.352
6,"[79, 422]",2.372
6,"[5, 141]",2.481
6,"[244, 270]",2.525
6,"[107, 162]",3.256
6,"[327, 409]",4.012
7,"[279, 414]",1.223
7,"[373, 414]",1.503
7,"[141, 409]",1.627
7,"[318, 409]",1.712
7,"[117, 409]",1.891
7,"[319, 409]",1.896
7,"[111, 141]",1.925
7,"[71, 409]",1.928
7,"[117, 244]",1.995
7,"[81, 409]",1.995
7,"[373, 409]",2.002
