gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[348, 352]",1.245
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 196]",1.875
2,"[15, 421]",1.988
2,"[111, 353]",2.105
2,"[71, 222]",2.114
2,"[303, 424]",2.12
2,"[181, 309]",2.139
2,"[17, 223]",2.2
2,"[196, 243]",2.219
2,"[293, 386]",2.227
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[95, 429]",2.38
2,"[101, 385]",2.412
2,"[90, 111]",2.548
2,"[267, 281]",2.693
2,"[21, 200]",2.827
2,"[176, 224]",2.903
2,"[197, 224]",2.938
2,"[38, 353]",3.136
2,"[65, 71]",3.236
2,"[197, 309]",3.247
2,"[5, 90]",3.775
2,"[5, 207]",3.982
2,"[16, 396]",4.055
3,"[348, 352]",1.245
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[111, 196]",1.875
3,"[15, 421]",1.988
3,"[111, 353]",2.105
3,"[95, 222]",2.105
3,"[71, 222]",2.114
3,"[303, 424]",2.12
3,"[181, 309]",2.139
3,"[17, 223]",2.2
3,"[303, 385]",2.222
3,"[33, 437]",2.323
3,"[197, 293]",2.409
3,"[176, 424]",2.422
3,"[90, 292]",2.444
3,"[5, 111]",2.5
3,"[53, 281]",2.645
3,"[38, 303]",2.787
3,"[87, 281]",2.791
3,"[276, 353]",2.931
3,"[197, 224]",2.938
3,"[38, 100]",2.941
3,"[15, 348]",2.948
3,"[16, 424]",3.2
3,"[207, 267]",3.492
3,"[16, 283]",3.745
3,"[65, 309]",4.17
3,"[16, 348]",4.222
3,"[5, 193]",4.391
4,"[348, 352]",1.245
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[111, 196]",1.875
4,"[111, 437]",1.956
4,"[15, 421]",1.988
4,"[111, 197]",2.062
4,"[111, 224]",2.097
4,"[111, 353]",2.105
4,"[95, 222]",2.105
4,"[71, 222]",2.114
