gen,filename,score
1,"[216, 302]",1.427
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[204, 444]",2.094
1,"[118, 262]",2.196
1,"[322, 358]",2.253
1,"[146, 376]",2.26
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[166, 408]",2.558
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[160, 279]",2.886
1,"[19, 405]",2.915
1,"[189, 262]",2.951
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[240, 279]",3.169
1,"[32, 413]",3.379
1,"[81, 181]",3.423
1,"[83, 405]",3.494
1,"[133, 426]",3.692
1,"[156, 358]",3.874
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[160, 302]",1.373
2,"[216, 302]",1.427
2,"[385, 414]",1.754
2,"[22, 177]",1.891
2,"[337, 369]",1.922
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[204, 444]",2.094
2,"[146, 337]",2.137
2,"[118, 262]",2.196
2,"[322, 358]",2.253
2,"[146, 376]",2.26
2,"[231, 287]",2.412
2,"[231, 388]",2.477
2,"[57, 140]",2.487
2,"[81, 408]",2.488
2,"[22, 148]",2.492
2,"[76, 140]",2.497
2,"[262, 287]",2.503
2,"[166, 177]",2.513
2,"[125, 201]",2.517
2,"[166, 408]",2.558
2,"[129, 400]",2.726
2,"[101, 129]",2.747
2,"[240, 262]",2.815
2,"[22, 325]",2.874
2,"[216, 358]",2.899
2,"[204, 211]",2.91
2,"[83, 279]",3.518
2,"[193, 383]",3.987
2,"[16, 400]",4.422
2,"[266, 321]",10
3,"[216, 414]",1.047
3,"[160, 302]",1.373
3,"[216, 302]",1.427
3,"[385, 414]",1.754
3,"[22, 177]",1.891
3,"[337, 369]",1.922
3,"[22, 263]",1.949
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[204, 444]",2.094
3,"[146, 337]",2.137
3,"[199, 322]",2.161
3,"[337, 400]",2.191
3,"[118, 262]",2.196
3,"[322, 358]",2.253
3,"[146, 376]",2.26
3,"[101, 201]",2.41
3,"[231, 287]",2.412
3,"[129, 402]",2.416
3,"[22, 140]",2.428
3,"[201, 329]",2.446
3,"[231, 388]",2.477
3,"[57, 140]",2.487
3,"[81, 408]",2.488
3,"[231, 358]",2.501
3,"[219, 231]",2.517
3,"[101, 444]",2.672
3,"[369, 411]",2.689
3,"[57, 400]",2.754
3,"[166, 383]",3.257
3,"[262, 321]",3.345
3,"[140, 216]",3.503
4,"[216, 414]",1.047
4,"[57, 302]",1.3
4,"[160, 302]",1.373
4,"[216, 302]",1.427
4,"[385, 414]",1.754
4,"[22, 177]",1.891
4,"[337, 369]",1.922
4,"[22, 263]",1.949
4,"[177, 337]",2.011
4,"[57, 96]",2.014
4,"[204, 444]",2.094
4,"[163, 369]",2.114
4,"[301, 337]",2.12
4,"[118, 408]",2.123
4,"[146, 337]",2.137
4,"[199, 322]",2.161
4,"[337, 400]",2.191
4,"[118, 262]",2.196
4,"[322, 358]",2.253
4,"[146, 376]",2.26
4,"[166, 199]",2.323
4,"[22, 402]",2.327
4,"[177, 219]",2.362
4,"[287, 393]",2.426
4,"[140, 369]",2.453
4,"[231, 358]",2.501
4,"[140, 146]",2.506
4,"[231, 433]",2.666
4,"[231, 440]",2.822
4,"[146, 216]",2.984
4,"[57, 398]",3.194
4,"[219, 348]",3.227
5,"[216, 414]",1.047
5,"[6, 302]",1.22
5,"[140, 302]",1.238
5,"[57, 302]",1.3
5,"[231, 302]",1.301
5,"[302, 373]",1.334
5,"[160, 302]",1.373
5,"[216, 302]",1.427
5,"[140, 414]",1.586
5,"[177, 263]",1.713
5,"[385, 414]",1.754
5,"[22, 177]",1.891
5,"[337, 369]",1.922
5,"[22, 263]",1.949
5,"[177, 337]",2.011
5,"[57, 96]",2.014
5,"[72, 177]",2.019
5,"[204, 444]",2.094
5,"[163, 369]",2.114
5,"[301, 337]",2.12
5,"[118, 408]",2.123
5,"[146, 337]",2.137
5,"[199, 322]",2.161
5,"[57, 322]",2.208
5,"[287, 402]",2.261
5,"[199, 400]",2.266
5,"[163, 440]",2.34
5,"[231, 267]",2.568
5,"[57, 219]",2.575
5,"[219, 393]",2.667
5,"[146, 369]",2.737
5,"[412, 444]",3.4
6,"[216, 414]",1.047
6,"[6, 302]",1.22
6,"[140, 302]",1.238
6,"[57, 302]",1.3
6,"[231, 302]",1.301
6,"[302, 373]",1.334
6,"[160, 302]",1.373
6,"[216, 302]",1.427
6,"[140, 414]",1.586
6,"[199, 302]",1.654
6,"[177, 263]",1.713
6,"[231, 414]",1.739
6,"[385, 414]",1.754
6,"[263, 385]",1.782
6,"[22, 177]",1.891
6,"[22, 179]",1.906
6,"[337, 369]",1.922
6,"[22, 263]",1.949
6,"[57, 263]",1.993
6,"[177, 337]",2.011
6,"[57, 96]",2.014
6,"[6, 337]",2.134
6,"[72, 332]",2.206
6,"[22, 25]",2.255
6,"[231, 402]",2.373
