gen,filename,score
1,"[228, 422]",558.022979
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[239, 401]",573.870519
1,"[158, 225]",589.481022
1,"[365, 430]",626.364034
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[172, 412]",749.693992
1,"[220, 299]",764.866691
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[5, 314]",965.182992
1,"[141, 260]",1079.717905
2,"[225, 312]",512.505631
2,"[83, 225]",539.533785
2,"[216, 422]",623.985023
2,"[59, 264]",662.236755
2,"[158, 422]",669.789143
2,"[43, 180]",683.946185
2,"[121, 235]",691.936088
2,"[95, 419]",726.651171
2,"[16, 233]",730.895734
2,"[16, 128]",744.665444
2,"[220, 350]",746.989849
2,"[172, 412]",749.693992
2,"[220, 299]",764.866691
2,"[365, 412]",774.659501
2,"[412, 436]",779.446632
2,"[350, 406]",783.508791
2,"[147, 420]",787.218054
2,"[203, 386]",794.411597
2,"[81, 147]",802.431809
2,"[220, 406]",849.110939
2,"[201, 386]",852.393204
2,"[117, 364]",857.859275
2,"[82, 350]",862.316268
2,"[27, 220]",867.429677
2,"[6, 81]",886.358329
2,"[43, 275]",889.978897
2,"[288, 364]",921.284696
2,"[349, 394]",941.205024
2,"[235, 394]",958.26154
2,"[225, 260]",958.321429
2,"[5, 314]",965.182992
2,"[141, 260]",1079.717905
3,"[106, 147]",517.175738
3,"[27, 144]",597.963456
3,"[168, 233]",648.346606
3,"[76, 220]",664.418924
3,"[81, 225]",679.616075
3,"[11, 436]",699.215128
3,"[223, 233]",739.998757
3,"[205, 235]",750.155493
3,"[81, 216]",783.062693
3,"[147, 420]",787.218054
3,"[203, 386]",794.411597
3,"[81, 147]",802.431809
3,"[19, 394]",824.442592
3,"[220, 406]",849.110939
3,"[201, 386]",852.393204
3,"[117, 364]",857.859275
3,"[82, 350]",862.316268
3,"[27, 220]",867.429677
3,"[147, 288]",881.736763
3,"[6, 81]",886.358329
3,"[105, 394]",886.920655
3,"[43, 275]",889.978897
3,"[82, 364]",898.728503
3,"[288, 364]",921.284696
3,"[349, 394]",941.205024
3,"[150, 394]",944.392937
3,"[235, 394]",958.26154
3,"[225, 260]",958.321429
3,"[5, 314]",965.182992
3,"[91, 436]",997.556306
3,"[141, 260]",1079.717905
3,"[288, 314]",1094.161566
4,"[11, 377]",643.255008
4,"[43, 216]",749.967045
4,"[141, 235]",791.914742
4,"[205, 394]",809.545855
4,"[76, 266]",819.76891
4,"[201, 436]",821.940117
4,"[244, 314]",826.27078
4,"[82, 350]",862.316268
4,"[27, 220]",867.429677
4,"[223, 394]",879.471511
4,"[147, 288]",881.736763
4,"[223, 311]",882.780184
4,"[6, 81]",886.358329
4,"[105, 394]",886.920655
4,"[43, 275]",889.978897
4,"[81, 201]",891.184864
4,"[82, 364]",898.728503
4,"[81, 235]",909.048487
4,"[288, 364]",921.284696
4,"[349, 394]",941.205024
4,"[150, 394]",944.392937
4,"[220, 288]",944.984039
4,"[235, 394]",958.26154
4,"[225, 260]",958.321429
4,"[5, 314]",965.182992
4,"[91, 436]",997.556306
4,"[314, 340]",1039.039253
4,"[141, 260]",1079.717905
4,"[288, 314]",1094.161566
4,"[290, 364]",1107.910711
4,"[171, 394]",1113.137925
4,"[91, 260]",1344.598081
5,"[225, 385]",592.696223
5,"[11, 220]",715.351376
5,"[223, 436]",760.644354
5,"[349, 350]",772.543874
5,"[6, 364]",804.679962
5,"[81, 407]",806.423043
5,"[5, 201]",847.299434
5,"[105, 398]",854.428053
5,"[82, 364]",898.728503
5,"[81, 235]",909.048487
5,"[27, 127]",913.54566
5,"[288, 364]",921.284696
5,"[349, 394]",941.205024
5,"[150, 394]",944.392937
5,"[220, 288]",944.984039
5,"[231, 288]",956.068467
5,"[235, 394]",958.26154
5,"[225, 260]",958.321429
5,"[6, 376]",958.788938
5,"[5, 314]",965.182992
5,"[91, 278]",967.215105
5,"[150, 314]",985.349438
5,"[91, 436]",997.556306
5,"[82, 394]",1029.801201
5,"[314, 340]",1039.039253
5,"[314, 394]",1058.709704
5,"[141, 260]",1079.717905
5,"[288, 314]",1094.161566
5,"[290, 364]",1107.910711
5,"[223, 260]",1108.273296
5,"[171, 394]",1113.137925
5,"[91, 260]",1344.598081
6,"[5, 35]",524.771383
6,"[225, 340]",709.668033
6,"[231, 274]",728.168715
6,"[349, 364]",809.863184
6,"[6, 436]",817.130187
