gen,filename,score
1,"[19, 277]",495.711566
1,"[133, 426]",497.995846
1,"[76, 140]",532.030868
1,"[11, 383]",545.561044
1,"[219, 261]",563.802662
1,"[156, 358]",575.030917
1,"[101, 129]",590.316557
1,"[55, 326]",591.466329
1,"[216, 302]",597.978317
1,"[385, 414]",603.262822
1,"[129, 400]",634.110315
1,"[60, 155]",637.220292
1,"[164, 329]",671.048411
1,"[322, 358]",694.105788
1,"[81, 181]",715.501525
1,"[189, 262]",721.128185
1,"[240, 279]",721.561062
1,"[321, 354]",749.770996
1,"[32, 413]",751.870704
1,"[19, 405]",758.822199
1,"[177, 337]",760.099246
1,"[83, 405]",762.48516
1,"[262, 287]",785.644969
1,"[204, 444]",792.314925
1,"[160, 279]",795.20983
1,"[231, 388]",830.974304
1,"[22, 177]",832.970599
1,"[118, 262]",912.799801
1,"[146, 376]",919.248542
1,"[166, 408]",999.020757
1,"[125, 201]",1086.569861
1,"[57, 96]",1140.092844
2,"[219, 329]",459.114579
2,"[156, 181]",504.560539
2,"[16, 354]",583.472858
2,"[231, 426]",601.533951
2,"[156, 413]",606.551252
2,"[57, 279]",622.836716
2,"[22, 211]",636.489641
2,"[216, 279]",666.146389
2,"[32, 219]",666.170662
2,"[32, 358]",722.489263
2,"[193, 426]",733.901667
2,"[55, 388]",734.761006
2,"[262, 337]",745.547689
2,"[140, 164]",754.317914
2,"[201, 216]",755.742748
2,"[32, 408]",803.827986
2,"[166, 325]",814.599166
2,"[22, 177]",832.970599
2,"[32, 405]",838.722375
2,"[204, 376]",879.24186
2,"[118, 405]",898.884988
2,"[118, 262]",912.799801
2,"[146, 376]",919.248542
2,"[266, 322]",930.991719
2,"[166, 408]",999.020757
2,"[262, 411]",1057.663679
2,"[125, 408]",1063.652834
2,"[125, 201]",1086.569861
2,"[57, 96]",1140.092844
2,"[369, 376]",1204.124474
2,"[148, 166]",1244.175143
2,"[96, 164]",1340.421714
3,"[140, 329]",463.818905
3,"[156, 163]",534.424506
3,"[219, 219]",538.572761
3,"[156, 337]",538.720688
3,"[16, 199]",577.146426
3,"[57, 263]",583.691159
3,"[211, 358]",598.996911
3,"[329, 388]",603.744607
3,"[32, 219]",666.170662
3,"[118, 199]",672.863528
3,"[216, 393]",706.797928
3,"[146, 358]",711.99031
3,"[118, 337]",744.588743
3,"[201, 216]",755.742748
3,"[166, 329]",781.304854
3,"[22, 201]",793.506038
3,"[32, 402]",862.760485
3,"[193, 440]",865.421813
3,"[32, 177]",867.386642
3,"[231, 398]",893.645798
3,"[22, 348]",896.629037
3,"[125, 181]",911.083643
3,"[32, 376]",927.778687
3,"[125, 301]",975.192808
3,"[193, 433]",1020.731531
3,"[125, 408]",1063.652834
3,"[125, 201]",1086.569861
3,"[125, 164]",1136.054488
3,"[57, 96]",1140.092844
3,"[369, 376]",1204.124474
3,"[148, 166]",1244.175143
3,"[96, 164]",1340.421714
4,"[219, 439]",522.837432
4,"[25, 32]",629.301152
4,"[181, 412]",645.672905
4,"[22, 337]",649.864854
4,"[16, 263]",663.50975
4,"[156, 177]",721.745272
4,"[329, 376]",722.299065
4,"[329, 374]",729.457744
4,"[164, 211]",755.248766
4,"[32, 322]",765.440959
