gen,filename,score
1,"[9, 132]",472.678641
1,"[97, 180]",494.870677
1,"[132, 180]",534.430695
1,"[228, 422]",558.022979
1,"[202, 255]",559.628168
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[31, 372]",571.943091
1,"[239, 401]",573.870519
1,"[170, 404]",577.048206
1,"[158, 225]",589.481022
1,"[53, 93]",590.130337
1,"[83, 93]",617.017955
1,"[365, 430]",626.364034
1,"[97, 436]",626.68531
1,"[268, 419]",629.065575
1,"[372, 424]",630.156543
1,"[357, 383]",649.6361
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[101, 220]",677.882293
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[115, 271]",706.949987
1,"[34, 83]",708.307864
1,"[89, 291]",709.515342
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[52, 109]",731.785443
1,"[232, 418]",736.225971
1,"[423, 425]",745.53646
1,"[172, 412]",749.693992
1,"[17, 178]",750.383876
1,"[121, 234]",750.426785
1,"[188, 393]",753.03981
1,"[252, 434]",753.784612
1,"[208, 303]",753.89309
1,"[117, 211]",754.813943
1,"[220, 299]",764.866691
1,"[24, 350]",766.020836
1,"[288, 319]",773.562066
1,"[6, 343]",777.470789
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[128, 150]",819.114886
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[216, 314]",873.790428
1,"[221, 251]",884.322366
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[72, 314]",893.683052
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[165, 347]",947.299278
1,"[5, 314]",965.182992
1,"[43, 80]",967.294931
1,"[107, 382]",974.404189
1,"[260, 295]",1011.316995
1,"[145, 423]",1014.331058
1,"[341, 346]",1076.784036
1,"[141, 260]",1079.717905
1,"[159, 215]",1087.825237
1,"[190, 434]",1681.854042
2,"[50, 418]",477.039055
