gen,filename,score
1,"[228, 422]",558.022979
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[239, 401]",573.870519
1,"[158, 225]",589.481022
1,"[365, 430]",626.364034
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[172, 412]",749.693992
1,"[220, 299]",764.866691
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[5, 314]",965.182992
1,"[141, 260]",1079.717905
2,"[168, 325]",503.766624
2,"[225, 312]",512.505631
2,"[83, 225]",539.533785
2,"[216, 422]",623.985023
2,"[59, 264]",662.236755
2,"[158, 422]",669.789143
2,"[11, 322]",678.331703
2,"[43, 180]",683.946185
2,"[172, 287]",688.816331
2,"[121, 235]",691.936088
2,"[19, 364]",693.632632
2,"[16, 128]",744.665444
2,"[220, 350]",746.989849
2,"[365, 412]",774.659501
2,"[412, 436]",779.446632
2,"[81, 147]",802.431809
2,"[150, 364]",813.144462
2,"[203, 420]",817.66769
2,"[105, 275]",841.931338
2,"[220, 406]",849.110939
2,"[201, 386]",852.393204
2,"[117, 364]",857.859275
2,"[82, 350]",862.316268
2,"[27, 220]",867.429677
2,"[6, 81]",886.358329
2,"[43, 275]",889.978897
2,"[288, 364]",921.284696
2,"[349, 394]",941.205024
2,"[235, 394]",958.26154
2,"[225, 260]",958.321429
2,"[5, 314]",965.182992
2,"[141, 260]",1079.717905
3,"[19, 76]",574.675715
3,"[27, 144]",597.963456
3,"[106, 150]",609.543984
3,"[172, 180]",618.707833
3,"[5, 180]",673.245722
3,"[412, 422]",689.355937
3,"[223, 287]",699.032074
3,"[158, 377]",703.811071
3,"[225, 394]",729.133569
3,"[205, 235]",750.155493
3,"[11, 81]",768.259012
3,"[81, 83]",778.400534
3,"[43, 364]",803.800119
3,"[117, 287]",808.735666
3,"[11, 311]",821.251844
3,"[406, 412]",831.989539
3,"[27, 220]",867.429677
3,"[216, 266]",884.861773
3,"[6, 81]",886.358329
3,"[43, 275]",889.978897
3,"[288, 364]",921.284696
3,"[349, 394]",941.205024
3,"[171, 350]",944.674451
3,"[235, 394]",958.26154
3,"[225, 260]",958.321429
3,"[5, 314]",965.182992
3,"[91, 436]",997.556306
3,"[340, 394]",998.149005
3,"[275, 288]",1002.145994
3,"[290, 350]",1070.951248
3,"[141, 260]",1079.717905
3,"[288, 314]",1094.161566
4,"[205, 422]",600.489003
4,"[225, 412]",609.17153
4,"[127, 225]",671.353607
4,"[43, 377]",759.876439
4,"[5, 278]",775.366162
4,"[8, 412]",777.783274
4,"[406, 407]",789.538504
4,"[205, 394]",809.545855
4,"[244, 288]",815.630108
4,"[235, 385]",822.610526
4,"[19, 394]",824.442592
4,"[43, 220]",832.393427
4,"[27, 364]",839.2962
4,"[288, 422]",843.579089
4,"[91, 180]",865.875018
4,"[287, 288]",866.910281
4,"[81, 231]",876.850025
4,"[5, 394]",924.448123
4,"[117, 398]",955.584647
4,"[43, 376]",958.004531
4,"[235, 394]",958.26154
4,"[225, 260]",958.321429
4,"[5, 314]",965.182992
4,"[275, 394]",972.508234
4,"[91, 436]",997.556306
4,"[340, 394]",998.149005
4,"[235, 314]",999.083384
4,"[275, 288]",1002.145994
4,"[290, 350]",1070.951248
4,"[141, 260]",1079.717905
4,"[288, 314]",1094.161566
4,"[266, 288]",1095.96963
5,"[225, 422]",520.329837
5,"[35, 406]",552.266608
5,"[274, 287]",639.045058
5,"[43, 425]",661.33206
5,"[19, 407]",663.71224
5,"[205, 436]",690.692492
5,"[287, 364]",705.963444
5,"[27, 101]",733.540279
5,"[207, 407]",763.828003
5,"[235, 375]",785.789483
5,"[5, 436]",805.628136
5,"[340, 377]",823.151547
5,"[116, 225]",825.363274
5,"[235, 412]",838.974964
5,"[220, 434]",867.914425
5,"[8, 394]",896.532721
5,"[288, 364]",921.284696
5,"[43, 394]",935.465596
5,"[43, 288]",965.409656
5,"[275, 394]",972.508234
5,"[91, 436]",997.556306
5,"[340, 394]",998.149005
5,"[235, 314]",999.083384
5,"[275, 288]",1002.145994
5,"[117, 314]",1030.423357
5,"[290, 350]",1070.951248
5,"[141, 260]",1079.717905
5,"[288, 314]",1094.161566
5,"[266, 288]",1095.96963
5,"[260, 412]",1126.970496
5,"[91, 288]",1145.268477
5,"[288, 290]",1274.434495
6,"[101, 225]",492.109567
6,"[141, 197]",591.853114
6,"[8, 84]",618.294965
6,"[27, 225]",681.020006
6,"[220, 407]",753.086607
