gen,filename,score
1,"[19, 277]",495.711566
1,"[133, 426]",497.995846
1,"[76, 140]",532.030868
1,"[11, 383]",545.561044
1,"[219, 261]",563.802662
1,"[156, 358]",575.030917
1,"[101, 129]",590.316557
1,"[55, 326]",591.466329
1,"[216, 302]",597.978317
1,"[385, 414]",603.262822
1,"[129, 400]",634.110315
1,"[60, 155]",637.220292
1,"[164, 329]",671.048411
1,"[322, 358]",694.105788
1,"[81, 181]",715.501525
1,"[189, 262]",721.128185
1,"[240, 279]",721.561062
1,"[321, 354]",749.770996
1,"[32, 413]",751.870704
1,"[19, 405]",758.822199
1,"[177, 337]",760.099246
1,"[83, 405]",762.48516
1,"[262, 287]",785.644969
1,"[204, 444]",792.314925
1,"[160, 279]",795.20983
1,"[231, 388]",830.974304
1,"[22, 177]",832.970599
1,"[118, 262]",912.799801
1,"[146, 376]",919.248542
1,"[166, 408]",999.020757
1,"[125, 201]",1086.569861
1,"[57, 96]",1140.092844
2,"[219, 329]",459.114579
2,"[101, 358]",597.078385
2,"[156, 413]",606.551252
2,"[55, 358]",646.062476
2,"[60, 279]",701.9286
2,"[240, 279]",721.561062
2,"[133, 408]",722.403023
2,"[321, 354]",749.770996
2,"[32, 413]",751.870704
2,"[19, 405]",758.822199
2,"[177, 337]",760.099246
2,"[83, 405]",762.48516
2,"[129, 262]",775.461963
2,"[262, 287]",785.644969
2,"[204, 444]",792.314925
2,"[160, 279]",795.20983
2,"[32, 408]",803.827986
2,"[231, 388]",830.974304
2,"[22, 177]",832.970599
2,"[204, 376]",879.24186
2,"[118, 405]",898.884988
2,"[164, 201]",912.563151
2,"[118, 262]",912.799801
2,"[146, 376]",919.248542
2,"[166, 279]",933.076687
2,"[321, 388]",941.195703
2,"[166, 408]",999.020757
2,"[321, 376]",1059.740443
2,"[125, 201]",1086.569861
2,"[166, 376]",1122.881887
2,"[57, 96]",1140.092844
2,"[96, 125]",1509.437108
3,"[156, 279]",592.542955
3,"[129, 279]",660.440696
3,"[129, 413]",674.887943
3,"[22, 287]",690.153613
3,"[177, 354]",695.093923
3,"[32, 279]",738.365297
3,"[279, 408]",750.08119
3,"[32, 408]",803.827986
3,"[57, 376]",812.531772
3,"[231, 388]",830.974304
3,"[22, 177]",832.970599
3,"[321, 358]",851.926744
3,"[160, 388]",866.426836
3,"[279, 321]",869.594303
3,"[204, 376]",879.24186
3,"[118, 201]",887.675978
3,"[118, 405]",898.884988
3,"[164, 201]",912.563151
3,"[118, 262]",912.799801
3,"[146, 376]",919.248542
3,"[166, 279]",933.076687
3,"[321, 388]",941.195703
3,"[321, 405]",966.310258
3,"[166, 408]",999.020757
3,"[166, 262]",1048.037339
3,"[321, 376]",1059.740443
3,"[125, 201]",1086.569861
3,"[166, 376]",1122.881887
3,"[57, 96]",1140.092844
3,"[22, 96]",1221.73832
3,"[96, 177]",1330.956018
3,"[96, 125]",1509.437108
4,"[329, 358]",515.550194
4,"[129, 279]",660.440696
4,"[279, 279]",683.918166
4,"[57, 408]",688.407101
4,"[22, 279]",703.659646
4,"[57, 201]",713.059468
4,"[118, 279]",797.725164
4,"[32, 408]",803.827986
4,"[22, 398]",837.472759
4,"[22, 376]",893.745572
4,"[118, 405]",898.884988
