gen,min_score,med_score,max_score,spearman,conv_counter
1,461.941254,745.103533,1123.637807,0,0
2,457.549084,828.131541,1136.220554,0.9999999999999999,1
3,552.700334,872.592106,1273.621703,-0.09090909090909088,0
4,460.745451,896.47435,1273.621703,0.43030303030303024,0
5,506.271204,930.581771,1273.621703,0.6,0
6,528.410543,936.009447,1477.921035,-0.4424242424242424,0
7,540.789544,1067.760241,1477.921035,0.11515151515151514,0
8,553.23251,1136.220554,1477.921035,-0.4424242424242424,0
9,536.978821,1215.953607,1555.893331,0.1515151515151515,0
10,598.271994,1225.600838,1555.893331,0.6242424242424242,0
11,475.791863,1236.552065,1555.893331,0.309090909090909,0
12,502.39533,1244.152296,1555.893331,0.19999999999999998,0
13,452.830807,1272.015134,1767.574437,0.6969696969696969,0
14,523.100803,1273.621703,1767.574437,0.29696969696969694,0
15,726.395383,1273.621703,1767.574437,0.23636363636363633,0
16,649.681782,1275.06212,1767.574437,0.7575757575757575,1
17,685.069775,1301.565124,1767.574437,0.7575757575757575,2
18,414.260689,1294.058272,1767.574437,0.6969696969696969,0
19,598.418631,1261.014706,1767.574437,0.8545454545454544,1
20,675.652499,1345.478534,1767.574437,0.9878787878787878,2
21,498.86265,1353.910878,1767.574437,0.8181818181818182,3
22,608.462395,1364.34479,1767.574437,0.9878787878787878,4
23,594.643047,1366.027256,1767.574437,0.9999999999999999,5
24,483.832445,1357.330909,1767.574437,0.9999999999999999,6
25,557.97697,1345.591853,1767.574437,0.9999999999999999,7
26,606.085195,1370.098907,1767.574437,0.9999999999999999,8
27,480.899586,1381.762014,1767.574437,0.9999999999999999,9
28,530.246137,1294.058272,1767.574437,0.9999999999999999,10
29,551.602933,1354.626512,1767.574437,0.9999999999999999,11
30,617.975807,1392.564551,1767.574437,0.6969696969696969,0
31,641.112395,1218.95824,1767.574437,0.9999999999999999,1
32,485.490133,1409.83292,1767.574437,0.9636363636363635,2
33,561.606033,1420.447935,1767.574437,0.9999999999999999,3
34,561.258,1433.566875,1767.574437,0.9999999999999999,4
35,660.54072,1398.559677,1767.574437,0.9999999999999999,5
36,704.7374,1468.993496,1767.574437,0.5151515151515151,0
37,835.932118,1474.878213,1767.574437,0.9999999999999999,1
38,467.598331,1345.591853,1767.574437,0.6969696969696969,0
39,482.447832,1347.931633,1767.574437,-0.2727272727272727,0
40,521.244501,1482.634211,1843.533383,0.6848484848484848,0
41,915.510903,1418.460381,1843.533383,0.2606060606060606,0
42,527.706806,1484.327446,2042.033251,0.6969696969696969,0
43,639.214826,1504.816435,2042.033251,0.9515151515151514,1
44,776.283914,1505.312438,2042.033251,0.9878787878787878,2
45,558.477511,1530.147278,2042.033251,0.8909090909090909,3
46,665.939171,1374.157183,2042.033251,0.8424242424242423,4
47,707.843939,1422.609632,2042.033251,0.9999999999999999,5
48,540.43074,1512.905483,2042.033251,0.9999999999999999,6
49,495.623377,1396.771911,2042.033251,0.9999999999999999,7
50,532.651677,1532.022234,2042.033251,0.9878787878787878,8
51,540.43074,1536.399013,2042.033251,0.9999999999999999,9
52,467.223932,1536.399013,2042.033251,0.9999999999999999,10
53,545.126704,1535.660783,2042.033251,0.9999999999999999,11
54,786.584873,1538.757523,2316.92827,0.9999999999999999,12
55,615.511053,1514.446045,2316.92827,0.9999999999999999,13
56,818.105511,1535.660783,2316.92827,0.9999999999999999,14
57,615.573441,1544.562865,2316.92827,0.9272727272727272,15
58,460.254943,1532.022234,2316.92827,0.9999999999999999,16
59,577.818613,1549.128732,2316.92827,0.9999999999999999,17
60,952.108261,1535.660783,2316.92827,0.8060606060606059,18
61,587.452267,1555.893331,2316.92827,0.8181818181818182,19
62,425.474995,1504.090979,2316.92827,0.9393939393939393,20
63,592.339664,1568.420248,2316.92827,0.43030303030303024,0
64,360.948215,1568.420248,2316.92827,0.7454545454545454,1
65,491.608931,1595.625674,2316.92827,0.8909090909090909,2
66,948.08319,1614.253537,2316.92827,0.9999999999999999,3
67,679.330903,1568.420248,2316.92827,0.5636363636363636,0
68,476.2208,1621.513149,2316.92827,0.6606060606060605,0
69,398.820228,1629.391027,2316.92827,0.22424242424242422,0
70,723.986832,1482.634211,2316.92827,0.9999999999999999,1
71,372.180564,1585.516109,2316.92827,0.9999999999999999,2
72,511.376215,1597.21053,2316.92827,0.9878787878787878,3
73,656.368447,1640.979323,2316.92827,0.9999999999999999,4
74,618.411195,1647.827322,2316.92827,0.9999999999999999,5
75,593.474724,1657.676804,2316.92827,0.8060606060606059,6
76,933.678253,1681.579067,2316.92827,0.9515151515151514,7
77,601.053935,1697.600736,2316.92827,0.9999999999999999,8
78,457.675293,1597.236023,2316.92827,0.7939393939393938,9
79,671.709814,1710.939199,2316.92827,0.9999999999999999,10
80,474.07535,1711.115845,2316.92827,0.9878787878787878,11
81,416.965509,1719.33866,2456.700557,0.9999999999999999,12
82,503.318944,1736.903824,2456.700557,0.9999999999999999,13
83,364.82966,1618.559889,2456.700557,0.9999999999999999,14
84,372.262432,1754.748249,2456.700557,0.9999999999999999,15
85,377.991022,1681.579067,2456.700557,0.9999999999999999,16
86,639.011561,1615.729721,2456.700557,0.9999999999999999,17
87,435.398287,1599.057045,2456.700557,0.9999999999999999,18
88,407.06813,1616.010148,2456.700557,0.9999999999999999,19
89,564.422217,1767.574437,2456.700557,0.9999999999999999,20
90,498.740221,1637.898452,2456.700557,0.9999999999999999,21
91,542.36964,1779.831748,2456.700557,0.9999999999999999,22
92,639.750314,1780.370142,2456.700557,0.9999999999999999,23
93,710.952875,1769.788025,2456.700557,0.9999999999999999,24
94,802.531749,1795.682738,2456.700557,0.8909090909090909,25
95,536.901475,1769.788025,2456.700557,0.9999999999999999,26
96,641.726551,1722.137181,2456.700557,0.9999999999999999,27
97,469.117761,1762.304243,2456.700557,0.9515151515151514,28
98,448.587668,1812.01783,2596.343192,0.9999999999999999,29
99,574.957001,1769.788025,2596.343192,0.9999999999999999,30
100,558.177097,1830.923208,2596.343192,0.9999999999999999,31
101,877.615648,1622.791449,2596.343192,0.8060606060606059,32
102,360.013825,1721.730154,2596.343192,0.9999999999999999,33
103,522.03348,1843.533383,2596.343192,0.9999999999999999,34
104,1012.670069,1676.031524,2596.343192,0.9999999999999999,35
105,526.391264,1661.757852,2596.343192,0.9999999999999999,36
106,730.496454,1848.136083,2596.343192,0.9999999999999999,37
107,658.795625,1860.986151,2596.343192,0.9999999999999999,38
108,567.792862,1719.995535,2596.343192,0.9999999999999999,39
109,514.064389,1837.049271,2596.343192,0.9999999999999999,40
110,620.855183,1812.01783,2596.343192,0.9999999999999999,41
111,671.458731,1751.298652,2596.343192,0.9999999999999999,42
112,671.458731,1890.822818,2596.343192,0.9878787878787878,43
113,620.870559,1860.986151,2596.343192,0.9999999999999999,44
114,781.632947,1780.370142,2596.343192,0.9999999999999999,45
115,625.740257,1883.379433,2596.343192,0.9999999999999999,46
116,816.366838,1820.707734,2596.343192,-0.41818181818181815,0
117,666.638252,1848.136083,2596.343192,0.9999999999999999,1
118,693.602481,1873.467219,2596.343192,0.9999999999999999,2
119,590.82281,1902.890656,2596.343192,0.9999999999999999,3
120,717.829438,1883.379433,2596.343192,0.8060606060606059,4
121,523.491307,1951.393958,2596.343192,0.9999999999999999,5
122,888.715626,1956.474722,2596.343192,0.9999999999999999,6
123,526.577403,1956.474722,2596.343192,0.9999999999999999,7
124,574.366952,1982.759071,2596.343192,0.9999999999999999,8
125,515.493293,1848.136083,2596.343192,0.9999999999999999,9
126,577.896481,1745.66663,2596.343192,0.9999999999999999,10
127,627.540777,1909.12143,2596.343192,0.9999999999999999,11
